ID,UnifyJobID
1,ABC_CONTRACT
1,ABC_COPYFILE
1,ABC_STRIKER
1,ABC_COPY_FILE
2,ABGTOUCHDAY
2,ABGTOUCHPDF
2,ABGTOUCHQA
2,ABGTOUCHWEEK
2,ABGTOUCHXFER
3,ACCESSION_LAB_CS
4,ABC_COPY_FILE
4,BERGEN_PROD
4,BERGEN_PROD_B306
5,WC_SUBMIT_CLAIMS
5,KPHC_BMI_CO
5,KPHC_BMI_GA
5,KPHC_BMI_HI
5,KPHC_BMI_MA
5,KPHC_BMI_NW
6,BODRUG_QA
6,BODRUG
7,CMIS_CN_Weekly
7,CMIS_CS_Weekly
8,CMIS_CN_MONTHLY
9,CMIS_HI_Weekly
10,CMS_TRR
11,SH_0008
12,SH_0007
13,SC_COGS_WEEKLY
14,MTM_CO_FTP
14,MTM_CO_02
14,MTM_CO_XFER
15,COPAY_INTERNAL_GA
16,CO_REGISTRIES
17,RAD_CSRISS
18,CVS_RX_CLAIMS
19,DAVITALAB
20,DEMO_DEADS_REG_BLD
20,DEMO_DEADS_REG_XFER
20,KPHC_DEMO_DEADS
21,DIRECTMARKETCA
21,DIRECTMARKETCO
21,DIRECTMARKETGA
21,DIRECTMARKETGET
21,DIRECTMARKETHI
21,DIRECTMARKETMA
21,DIRECTMARKETNW
21,DIRECTMARKETOH
21,DIRECTMARKETSPOOL
22,DOQU_REGISTRY
23,DQRS_01
24,OIS_MEDICAL_VISIT
25,DRUG_TREE
26,ECS_EXP_MKT_CSCN
26,HOSP_EXP_MKT_CSCN
27,EF_LEVEL
28,RUN_PODS_EPIMS
28,RUN_PODS_EPIMS_PHARM
28,EPS_BF_EPIMS_EST
28,EPS_BF_EPIMS_HAST
28,EPS_BF_EPIMS_MST
28,EPS_BF_EPIMS_PST
28,EPS_POS_EPIMS_EST
28,EPS_POS_EPIMS_HAST
28,EPS_POS_EPIMS_MST
28,EPS_POS_EPIMS_PST
28,EPIMS_TRUE_SOLD
28,POS_EPIMS_TRANS
29,EPIMS_TRUE_SOLD
30,EPS_ODS
31,EXP_MKT_GA
32,EXP_MKT_MA
33,FDB_LOAD
33,FDB_LOAD
34,GA_WEEKLY_LOAD_BUILD
35,GHC_MONTHLY
36,PSOSGPSALL
37,CT_D0_CLAIMS_PROD
37,CT_D0_CLAIMS_TEST
37,CT_D0_ENROLL_PROD
37,CT_D0_ENROLL_TEST
37,CT_D0_LIS_PROD
37,CT_D0_LIS_TEST
37,CT_D0_TRUEUP_PROD
37,CT_D0_TRUEUP_TEST
37,HT_D0_CLAIMS_PROD
37,HT_D0_CLAIMS_TEST
37,HT_D0_ENROLL_PROD
37,HT_D0_ENROLL_TEST
37,HT_D0_LIS_PROD
37,HT_D0_LIS_TEST
37,HT_D0_TERM_PROD
37,HT_D0_TERM_TEST
37,HT_D0_TRUEUP_TEST
37,HT_KP_ANCH_NEW
38,HEALTHTRANS_FIR
39,SH_0025
40,SH_0017
41,SH_0017
42,HL7_GA_MEMHIST_DAY
43,SH_0026
44,SH_0017
45,HOSP
45,ECS_EXP_MKT_CSCN
45,HOSP_EXP_MKT_CSCN
46,ICS_MONTHLY
47,ICS_WEEKLY
48,IDR_DAILY
49,IMS_COGNOS
50,INNOVIANT
51,INNOVIANT_SF
52,JUTILSUMM_CVS
53,JUTILSUMM_DAY_CO
53,JUTILSUMM_DAY_CS
53,JUTILSUMM_DAY_HI
53,JUTILSUMM_DAY_MA
53,JUTILSUMM_DAY_MA_CP
53,JUTILSUMM_DAY_NW
53,JUTILSUMM_GA
54,JUTILSUMM_OPPR
55,ALCOHOLSCREENING
56,ASTHMA_ACTION_CSP
57,KPHC_ASTHMA_FLO_CS
58,KPHC_ASTHMA_QUEST_CS
58,KPHC_ASTHMA_QUGAM400
58,KPHC_ASTHMA_QUGAM401
58,KPHC_PHQ9CS_M313
58,KPHC_PHQ9GA_M400
58,KPHC_PHQ9GA_M401
58,KPHC_PREN_LAB_CS
58,KPHC_QUEST_CO_M400
58,KPHC_QUEST_GA_M400
58,KPHC_QUEST_GA_M401
58,KPHC_SKINTCS_M312
58,KPHC_SKINTCS_M313
58,KPHC_SKINTGA_M400
58,KPHC_SKINTGA_M401
58,KPHC_SKINTMA_M400
58,KPHC_SKINTMA_M401
59,KPHC_BEACON
60,SC_CENSOR_DEPT_CNP
60,SC_CENSOR_DEPT_CSP
60,SC_CENSOR_GAP_M400
60,SC_CENSOR_GAT_M401
60,SC_CENSOR_HIP_M400
60,SC_CENSOR_HIT_M401
60,SC_CENSOR_MAP_M400
60,SC_CENSOR_MAT_M401
61,KPHC_FAC_ADMIN
62,KPHC_FOOT_EXAM_CS
63,FUTUREAPPTS_BUILD
63,FUTUREAPPTS_PM
63,FUTURECPGA
63,FUTURECPMA
63,FUTUREROCTEST
64,KPHC_GA_CLAIMS
65,KPHC_HM_MODIFIER_CN
65,KPHC_HM_MODIFIER_CS
65,KPHC_HM_MODIFIER_GAP
65,KPHC_HM_MODIFIER_HIP
65,KPHC_HM_MODIFIER_MAP
65,KPHC_HM_MODIFIER_NWP
65,KPHC_HM_MODIFIER_GAT
65,KPHC_HM_MODIFIER_HIT
65,KPHC_HM_MODIFIER_MAT
66,KPHC_HM_OVERRIDE_GA
67,SC_IMMUNITY_HIST_CSB
67,SC_IMMUNITY_HIST_CSP
68,KPHC_LOH_MA
69,KPHC_MAS_RENAL
70,SC_KPHC_ORDER_MEDS
70,SC_ORDER_MEDS_CS
70,SC_ORDER_MEDS_GA
71,KPHC_ORDER_NARRATIVE
72,SC_KPHC_ORDER_PROC
73,KPHC_ACTIVE_MEM_CNP
73,KPHC_ACTIVE_MEM_COP
73,KPHC_ACTIVE_MEM_CSP
73,KPHC_ACTIVE_MEM_GAP
73,KPHC_ACTIVE_MEM_GAT
73,KPHC_ACTIVE_MEM_HIP
73,KPHC_ACTIVE_MEM_HIT
73,KPHC_ACTIVE_MEM_MAP
73,KPHC_ACTIVE_MEM_MAT
73,KPHC_MYCHART_ENC_CNP
73,KPHC_MYCHART_ENC_COP
73,KPHC_MYCHART_ENC_CSP
73,KPHC_MYCHART_ENC_GAP
73,KPHC_MYCHART_ENC_GAT
73,KPHC_MYCHART_ENC_HIP
73,KPHC_MYCHART_ENC_HIT
73,KPHC_MYCHART_ENC_MAP
73,KPHC_MYCHART_ENC_MAT
73,KPHC_MYCHART_ENC_NWP
73,KPHC_PAT_PCP_CSP
73,KPHC_PAT_PCP_GAP
73,KPHC_PAT_PCP_GAT
73,KPHC_PAT_PCP_GA_XFER
73,KPHC_PAT_PCP_HI_XFER
73,KPHC_PAT_PCP_HIP
73,KPHC_PAT_PCP_HIT
73,KPHC_PAT_PCP_MAP
73,KPHC_PAT_PCP_MAT
73,KPHC_PAT_RACE_CNP
73,KPHC_PAT_RACE_COP
73,KPHC_PAT_RACE_CSP
73,KPHC_PAT_RACE_GAP
73,KPHC_PAT_RACE_GAT
73,KPHC_PAT_RACE_HIP
73,KPHC_PAT_RACE_HIT
73,KPHC_PAT_RACE_MAP
73,KPHC_PAT_RACE_MAT
73,KPHC_PAT_RACE_NWP
74,KPHC_POLST_CS
75,RAD_PAT_DAILY
75,RAD_PAT_PROF_ROCS
75,RAD_PAT_PROF_WKLY
76,KPHCPROV001
77,KP_PARTD_DAILY
77,KP_PARTD_WEEKLY
78,SH_0007
78,SH_0007
79,SH_0013
79,SH_0013A
80,SH_0023
81,LURS_RESULT
82,MAMM_RIS
83,MED_IMPACT
84,MED_IMPACT_02
85,KPHC_MED_INTOL_CA
85,KPHC_MED_INTOL_ROCS
86,M25_LOAD
87,MF2_LOAD
88,DAF
89,MED_SMART
90,MEMHISTMA
90,MEMHISTHI
91,MFAP_CUMULATIVE
92,MIA_MEMBERS
93,MOOP_ODS
94,MSP_DAILY
95,AOMS_VCASE_M310
95,AOMS_VCASE_M311
95,AOMS_VSNF_M310
95,AOMS_VSNF_M311
96,MTM_CMR_01
97,CN_INPT_MEDS
98,NPI_NPPES
99,MTM_NW
99,MTM_NW_02
100,NWT_TABLES_NEW
101,ODS_MEMBERSHIP_CN
101,ODS_MEMBERSHIP_CS
101,ODS_MEMBERSHIP_CS_HI
102,1_LINK_DAILY01
103,OPAP_VISION
104,OPCN
105,OPCS
106,KPHC_KEPT_APPT_CN
106,KPHC_KEPT_APPT_CO
106,KPHC_KEPT_APPT_CS
106,KPHC_KEPT_APPT_GA
106,KPHC_KEPT_APPT_HI
106,KPHC_KEPT_APPT_MA
106,KPHC_KEPT_APPT_NW
106,KPHC_OPXABS_CS
106,KPHC_OPXABS_GA
106,KPHC_OPXABS_HI
106,KPHC_OPXABS_MA
106,KPHC_OPXABS_NW
106,KPHC_OUTPAT_DX_CN
